14:45:45.189 [main] === Redstone logger started ===
14:45:45.190 [main] RedstoneManager created, world=com.voxel.World@4ddced80 chunkManager=com.voxel.world.ChunkManager@1534f01b
14:46:11.582 [LogicThread] setPlayerPosition (1119,68,930) player moved
14:46:11.615 [REPEATED x1]
14:46:11.615 [LogicThread] setPlayerPosition (1119,69,930) player moved
14:46:11.665 [REPEATED x2]
14:46:11.665 [LogicThread] setPlayerPosition (1119,69,929) player moved
14:46:11.682 [LogicThread] setPlayerPosition (1120,69,929) player moved
14:46:11.715 [LogicThread] setPlayerPosition (1120,70,929) player moved
14:46:11.779 [REPEATED x1]
14:46:11.779 [LogicThread] setPlayerPosition (1120,70,928) player moved
14:46:11.811 [LogicThread] setPlayerPosition (1121,71,928) player moved
14:46:11.909 [REPEATED x2]
14:46:11.909 [LogicThread] setPlayerPosition (1121,71,927) player moved
14:46:11.974 [REPEATED x1]
14:46:11.974 [LogicThread] setPlayerPosition (1122,71,927) player moved
14:46:12.038 [REPEATED x1]
14:46:12.038 [LogicThread] setPlayerPosition (1122,70,927) player moved
14:46:12.103 [REPEATED x1]
14:46:12.103 [LogicThread] setPlayerPosition (1122,70,926) player moved
14:46:12.167 [REPEATED x1]
14:46:12.167 [LogicThread] setPlayerPosition (1122,69,926) player moved
14:46:12.235 [REPEATED x1]
14:46:12.235 [LogicThread] setPlayerPosition (1123,69,926) player moved
14:46:12.365 [REPEATED x3]
14:46:12.366 [LogicThread] setPlayerPosition (1123,68,926) player moved
14:46:12.431 [REPEATED x1]
14:46:12.431 [LogicThread] setPlayerPosition (1123,68,925) player moved
14:46:14.119 [REPEATED x1]
14:46:14.119 [LogicThread] setPlayerPosition (1124,67,925) player moved
14:46:14.136 [LogicThread] setPlayerPosition (1123,67,925) player moved
14:46:14.202 [REPEATED x3]
14:46:14.202 [LogicThread] setPlayerPosition (1123,68,926) player moved
14:46:14.268 [REPEATED x3]
14:46:14.268 [LogicThread] setPlayerPosition (1122,68,926) player moved
14:46:14.569 [REPEATED x2]
14:46:14.569 [LogicThread] setPlayerPosition (1121,69,927) player moved
14:46:14.602 [REPEATED x1]
14:46:14.602 [LogicThread] setPlayerPosition (1121,69,928) player moved
14:46:14.635 [LogicThread] setPlayerPosition (1121,68,928) player moved
14:46:14.667 [LogicThread] setPlayerPosition (1121,67,928) player moved
14:46:18.483 [REPEATED x1]
14:46:18.483 [main] === Redstone logger shutting down ===
